Price,Property Details,Bedrooms,Bathrooms,Size,Property Type,Postal Code
998000,"3bds3ba1,808sqft- Townhouse for sale",3,3,"1,808",Townhouse for sale,V5S 4S1
3985000,"2bds3ba1,831sqft- Condo for sale",2,3,"1,831",Condo for sale,V6C 0B2
680000,1bd1ba651sqft- Condo for sale,1,1,651,Condo for sale,V6E 4R7
2449999,"4bds5ba2,174sqft- Multi-family home for sale",4,5,"2,174",Multi-family home for sale,V6N 3C2
5680000,"6bds7ba4,022sqft- House for sale",6,7,"4,022",House for sale,V6H 2A8
1938000,"6bds4ba1,913sqft- House for sale",6,4,"1,913",House for sale,V5W 1R2
2598000,"3bds4ba1,730sqft- Multi-family home for sale",3,4,"1,730",Multi-family home for sale,V6S 1R4
1049999,"1bd1ba1,169sqft- Condo for sale",1,1,"1,169",Condo for sale,V6B 6J3
1898000,"3bds2ba1,776sqft- House for sale",3,2,"1,776",House for sale,V5V 4L8
6388000,"5bds6ba4,574sqft- House for sale",5,6,"4,574",House for sale,V6N 2L7
4999999,"8bds4ba5,840sqft- House for sale",8,4,"5,840",House for sale,V6J 1C3
599000,1bd1ba636sqft- Condo for sale,1,1,636,Condo for sale,V6R 1W4
7990000,"6bds7ba6,257sqft- House for sale",6,7,"6,257",House for sale,V6H 2Z1
12980000,"6bds8ba7,324sqft- House for sale",6,8,"7,324",House for sale,V6M 3M4
1499900,"3bds3ba1,537sqft- Condo for sale",3,3,"1,537",Condo for sale,V5S 0E3
1449000,"3bds3ba1,179sqft- Townhouse for sale",3,3,"1,179",Townhouse for sale,V5N 3V8
699000,2bds1ba990sqft- Condo for sale,2,1,990,Condo for sale,V6A 0B2
3488000,"3bds2ba2,040sqft- House for sale",3,2,"2,040",House for sale,V6R 2S6
2990000,"4bds3ba2,705sqft- Condo for sale",4,3,"2,705",Condo for sale,V6G 3A7
5750000,"5bds7ba4,059sqft- House for sale",5,7,"4,059",House for sale,V6N 2T5
8280000,"4bds5ba4,596sqft- House for sale",4,5,"4,596",House for sale,V6M 1W1
2528000,"3bds4ba1,525sqft- Multi-family home for sale",3,4,"1,525",Multi-family home for sale,V6K 1Y4
459000,1bd1ba401sqft- Condo for sale,1,1,401,Condo for sale,V6G 1L3
1788000,"4bds6ba2,811sqft- House for sale",4,6,"2,811",House for sale,V5L 4E6
559990,1bd1ba443sqft- Condo for sale,1,1,443,Condo for sale,V5Y 0M2
2560000,"2bds3ba1,413sqft- Condo for sale",2,3,"1,413",Condo for sale,V6Z 2H7
12875000,"3bds6ba4,175sqft- Condo for sale",3,6,"4,175",Condo for sale,V6J 2H9
4290000,"6bds5ba3,634sqft- House for sale",6,5,"3,634",House for sale,V6L 1G8
11880000,"7bds8ba6,175sqft- House for sale",7,8,"6,175",House for sale,V6M 3H5
5500000,"8bds6ba5,886sqft- House for sale",8,6,"5,886",House for sale,V6P 1Y1
6580000,"5bds6ba4,253sqft- House for sale",5,6,"4,253",House for sale,V6R 2L1
2498000,"5bds2ba2,037sqft- House for sale",5,2,"2,037",House for sale,V6R 3C1
698000,2bds1ba770sqft- Condo for sale,2,1,770,Condo for sale,V6B 2W6
1899000,"5bds2ba2,186sqft- House for sale",5,2,"2,186",House for sale,V5P 4L9
7888000,"6bds5ba5,547sqft- House for sale",6,5,"5,547",House for sale,V6P 2C6
3998000,"3bds3ba2,457sqft- Condo for sale",3,3,"2,457",Condo for sale,V6G 1Z1
5780000,"4bds5ba4,183sqft- House for sale",4,5,"4,183",House for sale,V6L 1M2
699000,1bd1ba560sqft- Condo for sale,1,1,560,Condo for sale,V6Z 2H7
1650000,"2bds3ba1,414sqft- Condo for sale",2,3,"1,414",Condo for sale,V6E 4T8
3588000,"6bds4ba5,577sqft- House for sale",6,4,"5,577",House for sale,V6M 2N4
2799900,"5bds2ba2,463sqft- House for sale",5,2,"2,463",House for sale,V6K 2X9
1499000,"2bds2ba1,111sqft- Condo for sale",2,2,"1,111",Condo for sale,V6R 3B7
3890000,"3bds2ba2,864sqft- House for sale",3,2,"2,864",House for sale,V6R 1G2
485000,1bd1ba403sqft- Condo for sale,1,1,403,Condo for sale,V6E 4R7
1999000,"2bds2ba1,302sqft- Condo for sale",2,2,"1,302",Condo for sale,V6Z 2Y2
3870000,"3bds3ba2,492sqft- Condo for sale",3,3,"2,492",Condo for sale,V6Z 1V8
499900,1bd1ba764sqft- Condo for sale,1,1,764,Condo for sale,V6B 1G4
1498000,"2bds2ba1,407sqft- Townhouse for sale",2,2,"1,407",Townhouse for sale,V5Z 1C1
1479000,"3bds4ba1,238sqft- Multi-family home for sale",3,4,"1,238",Multi-family home for sale,V5K 1S7
2790000,"5bds3ba1,996sqft- House for sale",5,3,"1,996",House for sale,V6N 2H7
879000,2bds1ba829sqft- Condo for sale,2,1,829,Condo for sale,V5T 4S8
3998000,"3bds3ba2,042sqft- Condo for sale",3,3,"2,042",Condo for sale,V6B 5Z5
2298000,"3bds2ba1,852sqft- Townhouse for sale",3,2,"1,852",Townhouse for sale,V6H 1B7
3688888,"3bds4ba2,613sqft- House for sale",3,4,"2,613",House for sale,V6L 2B6
5298000,"5bds5ba4,278sqft- House for sale",5,5,"4,278",House for sale,V6M 3J3
1168000,"3bds3ba1,282sqft- Townhouse for sale",3,3,"1,282",Townhouse for sale,V5R 0B1
999000,"2bds2ba1,156sqft- Condo for sale",2,2,"1,156",Condo for sale,V6B 0A6
559000,1bd1ba624sqft- Condo for sale,1,1,624,Condo for sale,V6K 2N5
1848000,"4bds3ba1,689sqft- Townhouse for sale",4,3,"1,689",Townhouse for sale,V5Z 0C8
9980000,"5bds5ba4,361sqft- House for sale",5,5,"4,361",House for sale,V6R 1C8
5580000,"7bds7ba4,207sqft- House for sale",7,7,"4,207",House for sale,V6L 2C7
2998000,"3bds4ba1,879sqft- House for sale",3,4,"1,879",House for sale,V6L 1A2
19000000,"6bds8ba8,170sqft- House for sale",6,8,"8,170",House for sale,V6J 2T1
6550000,"5bds5ba6,403sqft- House for sale",5,5,"6,403",House for sale,V6J 4E8
1628800,"3bds3ba1,493sqft- Multi-family home for sale",3,3,"1,493",Multi-family home for sale,V5W 3J2
1368000,"4bds3ba1,400sqft- House for sale",4,3,"1,400",House for sale,V5S 3W6
869000,1bd1ba965sqft- Townhouse for sale,1,1,965,Townhouse for sale,V6J 4X9
2780000,"6bds4ba2,990sqft- House for sale",6,4,"2,990",House for sale,V6S 1M5
499900,1bd1ba733sqft- Condo for sale,1,1,733,Condo for sale,V5L 4W7
2399000,"5bds3ba2,301sqft- House for sale",5,3,"2,301",House for sale,V5V 2A1
12880000,"4bds2ba4,680sqft- House for sale",4,2,"4,680",House for sale,V6T 1B4
1098000,"3bds2ba1,183sqft- Condo for sale",3,2,"1,183",Condo for sale,V6A 4B6
2790000,"3bds3ba1,823sqft- Condo for sale",3,3,"1,823",Condo for sale,V6C 0B5
599000,2bds2ba873sqft- Condo for sale,2,2,873,Condo for sale,V6P 3E8
1295000,"3bds2ba1,211sqft- Condo for sale",3,2,"1,211",Condo for sale,V6B 6B9
4698000,"5bds4ba4,082sqft- House for sale",5,4,"4,082",House for sale,V6S 2M2
2398000,"3bds3ba1,589sqft- Townhouse for sale",3,3,"1,589",Townhouse for sale,V6Z 2Y2
4580000,"6bds4ba2,785sqft- House for sale",6,4,"2,785",House for sale,V6R 3C5
3480000,"6bds5ba2,930sqft- House for sale",6,5,"2,930",House for sale,V6L 1K5
1028000,"3bds2ba1,316sqft- Townhouse for sale",3,2,"1,316",Townhouse for sale,V5R 4S8
2998000,"4bds3ba2,571sqft- House for sale",4,3,"2,571",House for sale,V6K 2Z5
2688000,"3bds3ba1,964sqft- Condo for sale",3,3,"1,964",Condo for sale,V6B 1S2
3198000,"5bds4ba3,043sqft- House for sale",5,4,"3,043",House for sale,V6P 5G7
1098000,2bds1ba876sqft- Townhouse for sale,2,1,876,Townhouse for sale,V5Y 1Y2
1225000,"2bds2ba1,016sqft- Condo for sale",2,2,"1,016",Condo for sale,V5Y 0E3
1249000,"2bds2ba1,167sqft- Condo for sale",2,2,"1,167",Condo for sale,V6A 4E1
1798000,"4bds3ba2,565sqft- House for sale",4,3,"2,565",House for sale,V5K 1Y6
2598000,"2bds3ba1,330sqft- Condo for sale",2,3,"1,330",Condo for sale,V6G 2B1
1750000,"2bds3ba1,596sqft- Townhouse for sale",2,3,"1,596",Townhouse for sale,V6Z 2X1
1650000,"3bds2ba1,262sqft- Condo for sale",3,2,"1,262",Condo for sale,V6P 0C1
1239900,2bds2ba990sqft- Townhouse for sale,2,2,990,Townhouse for sale,V5Y 1Y2
2990000,"2bds2ba1,833sqft- Condo for sale",2,2,"1,833",Condo for sale,V6C 0B5
1500000,"2bds2ba1,079sqft- Condo for sale",2,2,"1,079",Condo for sale,V6Z 2Y2
1499900,"3bds3ba1,406sqft- Multi-family home for sale",3,3,"1,406",Multi-family home for sale,V5X 1B9
11998000,"4bds3ba5,774sqft- House for sale",4,3,"5,774",House for sale,V6H 2A1
9880000,"6bds6ba5,272sqft- House for sale",6,6,"5,272",House for sale,V6M 3P2
3298000,"12bds7ba4,521sqft- House for sale",12,7,"4,521",House for sale,V6K 1W1
1649000,"2bds2ba1,219sqft- Condo for sale",2,2,"1,219",Condo for sale,V6G 3K2
1388000,"5bds3ba1,341sqft- Multi-family home for sale",5,3,"1,341",Multi-family home for sale,V5N 1T4
399000,1bd1ba651sqft- Condo for sale,1,1,651,Condo for sale,V6G 2H9
1599000,"3bds2ba1,600sqft- House for sale",3,2,"1,600",House for sale,V5M 2N6
11888000,"8bds10ba8,677sqft- House for sale",8,10,"8,677",House for sale,V6H 2J5
1099000,"2bds2ba1,049sqft- Condo for sale",2,2,"1,049",Condo for sale,V6K 1R9
10800000,"4bds6ba5,767sqft- House for sale",4,6,"5,767",House for sale,V6H 1V2
1549000,"2bds2ba1,114sqft- Condo for sale",2,2,"1,114",Condo for sale,V6G 1T9
12880000,"5bds7ba5,880sqft- House for sale",5,7,"5,880",House for sale,V6M 3L1
3698000,"4bds3ba2,793sqft- House for sale",4,3,"2,793",House for sale,V6M 2B3
424900,1bd1ba619sqft- Condo for sale,1,1,619,Condo for sale,V6G 2H9
399000,1bd1ba592sqft- Condo for sale,1,1,592,Condo for sale,V6G 2H9
7000000,"4bds4ba3,046sqft- Condo for sale",4,4,"3,046",Condo for sale,V6G 3H2
1580000,"2bds2ba1,050sqft- Condo for sale",2,2,"1,050",Condo for sale,V6B 1M9
909000,2bds2ba833sqft- Condo for sale,2,2,833,Condo for sale,V6K 1R8
585800,1bd1ba735sqft- Condo for sale,1,1,735,Condo for sale,V6R 1T8
1499999,"3bds3ba1,115sqft- Townhouse for sale",3,3,"1,115",Townhouse for sale,V6H 1R6
1580000,"5bds2ba2,390sqft- House for sale",5,2,"2,390",House for sale,V5X 2A9
4498000,"5bds6ba3,063sqft- House for sale",5,6,"3,063",House for sale,V6S 1Z6
3980000,"3bds2ba2,197sqft- Condo for sale",3,2,"2,197",Condo for sale,V6G 1Z3
3999900,"4bds4ba3,030sqft- Condo for sale",4,4,"3,030",Condo for sale,V6B 1S1
888800,"2bds2ba1,049sqft- Condo for sale",2,2,"1,049",Condo for sale,V6J 2G6
749000,1bd1ba675sqft- Condo for sale,1,1,675,Condo for sale,V6K 4B3
3750000,"10bds7ba4,445sqft- House for sale",10,7,"4,445",House for sale,V6K 4H9
1599900,"4bds2ba1,750sqft- House for sale",4,2,"1,750",House for sale,V5K 4K9
1298000,"2bds2ba1,148sqft- Townhouse for sale",2,2,"1,148",Townhouse for sale,V6J 2C5
3380000,"2bds3ba2,125sqft- Condo for sale",2,3,"2,125",Condo for sale,V6Z 2Z5
2888000,"5bds2ba2,073sqft- House for sale",5,2,"2,073",House for sale,V6R 3B1
788000,2bds2ba968sqft- Condo for sale,2,2,968,Condo for sale,V6J 4S3
2070000,"5bds2ba2,197sqft- House for sale",5,2,"2,197",House for sale,V5P 2C2
3990000,"6bds5ba3,654sqft- House for sale",6,5,"3,654",House for sale,V6L 1G1
375000,1bd1ba569sqft- Condo for sale,1,1,569,Condo for sale,V6G 2R8
7880000,"5bds8ba8,514sqft- House for sale",5,8,"8,514",House for sale,V6P 6B3
2770000,"3bds3ba1,726sqft- Townhouse for sale",3,3,"1,726",Townhouse for sale,V6K 2B3
1450000,"2bds2ba1,038sqft- Condo for sale",2,2,"1,038",Condo for sale,V6H 1S4
834900,1bd2ba989sqft- Condo for sale,1,2,989,Condo for sale,V6A 4L9
3069000,"5bds6ba3,312sqft- House for sale",5,6,"3,312",House for sale,V5P 2A4
1239000,"2bds2ba1,173sqft- Townhouse for sale",2,2,"1,173",Townhouse for sale,V5V 1Z4
1200000,"2bds2ba1,157sqft- Condo for sale",2,2,"1,157",Condo for sale,V6B 0E6
4288000,"5bds4ba2,314sqft- House for sale",5,4,"2,314",House for sale,V6R 1C4
749000,1bd1ba615sqft- Condo for sale,1,1,615,Condo for sale,V5T 4S8
645000,1bd1ba576sqft- Condo for sale,1,1,576,Condo for sale,V6G 3G9
2538000,"5bds4ba2,583sqft- House for sale",5,4,"2,583",House for sale,V6P 4T3
798888,2bds2ba741sqft- Condo for sale,2,2,741,Condo for sale,V6Z 2N7
950000,2bds2ba819sqft- Condo for sale,2,2,819,Condo for sale,V6J 5M8
2388000,"4bds2ba2,764sqft- Condo for sale",4,2,"2,764",Condo for sale,V6A 1C2
2650000,"6bds3ba2,386sqft- House for sale",6,3,"2,386",House for sale,V5Z 3K6
848888,3bds2ba885sqft- Condo for sale,3,2,885,Condo for sale,V5N 3A1
700000,2bds1ba768sqft- Condo for sale,2,1,768,Condo for sale,V5V 3C1
3178800,"2bds2ba1,568sqft- Condo for sale",2,2,"1,568",Condo for sale,V6Z 0A5
1199999,"2bds2ba1,374sqft- Condo for sale",2,2,"1,374",Condo for sale,V6G 3A7
1808000,"2bds2ba1,696sqft- Condo for sale",2,2,"1,696",Condo for sale,V6H 1S5
1976000,"6bds5ba2,175sqft- Multi-family home for sale",6,5,"2,175",Multi-family home for sale,V5K 1B8
5880000,"7bds4ba4,481sqft- House for sale",7,4,"4,481",House for sale,V6M 3P1
2980000,"7bds6ba3,273sqft- House for sale",7,6,"3,273",House for sale,V6R 2M8
899900,2bds2ba885sqft- Condo for sale,2,2,885,Condo for sale,V6B 1X3
799000,2bds1ba922sqft- Condo for sale,2,1,922,Condo for sale,V6H 1N1
6488000,"3bds3ba2,673sqft- Condo for sale",3,3,"2,673",Condo for sale,V6Z 3E8
1539000,"2bds2ba1,362sqft- Townhouse for sale",2,2,"1,362",Townhouse for sale,V6J 4W2
3988000,"4bds5ba2,794sqft- House for sale",4,5,"2,794",House for sale,V6L 2G4
839000,"2bds2ba1,106sqft- Condo for sale",2,2,"1,106",Condo for sale,V6A 4B6
998000,"2bds2ba1,182sqft- Condo for sale",2,2,"1,182",Condo for sale,V5Z 4K4
499000,1bd1ba465sqft- Condo for sale,1,1,465,Condo for sale,V6Z 2C1
2999000,"2bds3ba2,951sqft- House for sale",2,3,"2,951",House for sale,V6P 0C9
665000,1bd1ba735sqft- Condo for sale,1,1,735,Condo for sale,V6G 1M9
1749000,"6bds3ba1,678sqft- House for sale",6,3,"1,678",House for sale,V5N 5J4
1185000,"2bds2ba1,000sqft- Townhouse for sale",2,2,"1,000",Townhouse for sale,V6K 2A8
5980000,"6bds7ba4,852sqft- House for sale",6,7,"4,852",House for sale,V6P 5J7
6888000,"6bds6ba4,410sqft- House for sale",6,6,"4,410",House for sale,V6M 1H8
1795000,"2bds2ba1,111sqft- Condo for sale",2,2,"1,111",Condo for sale,V6Z 3H4
710000,1bd1ba563sqft- Condo for sale,1,1,563,Condo for sale,V5Y 0K2
778000,1bd1ba670sqft- Condo for sale,1,1,670,Condo for sale,V6E 4T8
849900,1bd1ba700sqft- Condo for sale,1,1,700,Condo for sale,V6A 0C6
1075000,"2bds2ba1,177sqft- Condo for sale",2,2,"1,177",Condo for sale,V6G 2P1
749000,2bds2ba830sqft- Condo for sale,2,2,830,Condo for sale,V6B 5X6
1589000,"3bds3ba1,468sqft- Townhouse for sale",3,3,"1,468",Townhouse for sale,V5V 4K6
1399000,"2bds2ba1,079sqft- Condo for sale",2,2,"1,079",Condo for sale,V5T 0K1
3679000,"8bds6ba3,754sqft- House for sale",8,6,"3,754",House for sale,V6R 2E6
1999999,"4bds4ba1,619sqft- Multi-family home for sale",4,4,"1,619",Multi-family home for sale,V5T 2G4
1028000,"3bds2ba1,316sqft- Townhouse for sale",3,2,"1,316",Townhouse for sale,V5R 4S8
1780000,"3bds3ba1,942sqft- Condo for sale",3,3,"1,942",Condo for sale,V6M 1W5
774800,1bd1ba772sqft- Condo for sale,1,1,772,Condo for sale,V6Z 2S6
7980000,"9bds9ba7,026sqft- House for sale",9,9,"7,026",House for sale,V6M 1P2
1250000,"3bds2ba1,090sqft- Condo for sale",3,2,"1,090",Condo for sale,V5Z 0A2
1399800,"3bds2ba1,081sqft- Condo for sale",3,2,"1,081",Condo for sale,V5W 0E5
525000,1bd1ba525sqft- Condo for sale,1,1,525,Condo for sale,V5X 3Y5
999999,"1bd2ba1,093sqft- Townhouse for sale",1,2,"1,093",Townhouse for sale,V6Z 3G6
709000,1bd1ba556sqft- Condo for sale,1,1,556,Condo for sale,V5T 0E9
999000,3bds1ba986sqft- Condo for sale,3,1,986,Condo for sale,V6B 6B8
1000000,2bds2ba870sqft- Townhouse for sale,2,2,870,Townhouse for sale,V6K 1R2
949000,"2bds2ba1,063sqft- Condo for sale",2,2,"1,063",Condo for sale,V6E 3W3
1499000,"2bds2ba1,368sqft- Condo for sale",2,2,"1,368",Condo for sale,V6B 5S3
897500,"3bds2ba1,238sqft- Condo for sale",3,2,"1,238",Condo for sale,V5P 2S2
1046900,2bds2ba977sqft- Condo for sale,2,2,977,Condo for sale,V5Z 4S7
999000,2bds2ba858sqft- Townhouse for sale,2,2,858,Townhouse for sale,V6K 2E9
4890000,"6bds7ba5,175sqft- House for sale",6,7,"5,175",House for sale,V6P 5J5
1290000,"3bds2ba1,315sqft- Condo for sale",3,2,"1,315",Condo for sale,V6H 1G6
1299000,"3bds3ba1,361sqft- Townhouse for sale",3,3,"1,361",Townhouse for sale,V6A 3J3
918000,"2bds3ba1,826sqft- Townhouse for sale",2,3,"1,826",Townhouse for sale,V5S 3X2
749000,1bd1ba817sqft- Condo for sale,1,1,817,Condo for sale,V6B 2Y5
3699000,"4bds4ba2,424sqft- House for sale",4,4,"2,424",House for sale,V6L 1K4
2999000,"3bds3ba1,781sqft- Condo for sale",3,3,"1,781",Condo for sale,V6B 0S3
1098000,"2bds2ba1,243sqft- Condo for sale",2,2,"1,243",Condo for sale,V6A 4G5
739900,2bds2ba710sqft- Condo for sale,2,2,710,Condo for sale,V6B 6H4
10800000,"3bds3ba2,115sqft- Condo for sale",3,3,"2,115",Condo for sale,V6G 1A5
919000,2bds1ba905sqft- Condo for sale,2,1,905,Condo for sale,V6J 3R3
875000,2bds2ba869sqft- Condo for sale,2,2,869,Condo for sale,V5T 4M9
3738000,"5bds5ba2,506sqft- House for sale",5,5,"2,506",House for sale,V6L 2B9
2649000,"3bds2ba1,590sqft- Condo for sale",3,2,"1,590",Condo for sale,V6E 1V4
3680000,"3bds3ba2,172sqft- Condo for sale",3,3,"2,172",Condo for sale,V6Z 3H4
455000,1bd1ba615sqft- Condo for sale,1,1,615,Condo for sale,V6P 3X3
729000,1bd1ba676sqft- Condo for sale,1,1,676,Condo for sale,V6K 1Y2
828000,1bd1ba667sqft- Condo for sale,1,1,667,Condo for sale,V6G 3E3
899000,"2bds2ba1,124sqft- Condo for sale",2,2,"1,124",Condo for sale,V5W 4B9
5980000,"6bds5ba4,622sqft- House for sale",6,5,"4,622",House for sale,V6N 3B2
549000,1bd1ba495sqft- Condo for sale,1,1,495,Condo for sale,V6B 6P6
4698000,"2bds3ba2,490sqft- Condo for sale",2,3,"2,490",Condo for sale,V6C 0A2
1748000,"3bds2ba1,391sqft- Condo for sale",3,2,"1,391",Condo for sale,V6A 4K7
965000,1bd1ba969sqft- Condo for sale,1,1,969,Condo for sale,V6G 2P7
999000,3bds2ba965sqft- Townhouse for sale,3,2,965,Townhouse for sale,V5R 4S6
979000,2bds2ba956sqft- Townhouse for sale,2,2,956,Townhouse for sale,V5Z 1C2
1449888,"3bds4ba1,550sqft- Multi-family home for sale",3,4,"1,550",Multi-family home for sale,V5M 1A7
1999999,"5bds3ba2,337sqft- House for sale",5,3,"2,337",House for sale,V5P 2M4
1698000,"3bds3ba1,395sqft- Townhouse for sale",3,3,"1,395",Townhouse for sale,V5Y 1W1
5135555,"5bds6ba4,098sqft- House for sale",5,6,"4,098",House for sale,V6N 3V5
5280000,"2bds3ba2,237sqft- Condo for sale",2,3,"2,237",Condo for sale,V6C 0B2
2660000,"4bds3ba2,248sqft- House for sale",4,3,"2,248",House for sale,V5X 3C3
1299000,"2bds2ba1,136sqft- Condo for sale",2,2,"1,136",Condo for sale,V6Z 3E3
1199000,"3bds3ba1,282sqft- Townhouse for sale",3,3,"1,282",Townhouse for sale,V5L 1W2
1699000,"2bds2ba1,208sqft- Condo for sale",2,2,"1,208",Condo for sale,V6B 2W6
2098000,"3bds2ba1,318sqft- Condo for sale",3,2,"1,318",Condo for sale,V6Z 3A4
419900,1bd1ba510sqft- Condo for sale,1,1,510,Condo for sale,V6B 2K7
1990000,"3bds2ba1,708sqft- Condo for sale",3,2,"1,708",Condo for sale,V6Z 2N1
680000,1bd1ba682sqft- Condo for sale,1,1,682,Condo for sale,V6K 1C9
2059000,"2bds3ba2,070sqft- Condo for sale",2,3,"2,070",Condo for sale,V6Z 2L9
839900,2bds2ba869sqft- Condo for sale,2,2,869,Condo for sale,V6B 6M2
1575000,"3bds3ba1,455sqft- Multi-family home for sale",3,3,"1,455",Multi-family home for sale,V5T 2T7
1050000,2bds2ba837sqft- Condo for sale,2,2,837,Condo for sale,V6A 0H2
2200000,2bds1ba902sqft- Condo for sale,2,1,902,Condo for sale,V6G 0E3
788800,2bds2ba889sqft- Condo for sale,2,2,889,Condo for sale,V6B 0E6
1388000,"3bds2ba1,494sqft- Condo for sale",3,2,"1,494",Condo for sale,V5T 2V1
2190000,"3bds3ba2,830sqft- Condo for sale",3,3,"2,830",Condo for sale,V6G 3A7
657000,1bd1ba547sqft- Condo for sale,1,1,547,Condo for sale,V6B 1K2
3150000,"4bds5ba1,925sqft- Multi-family home for sale",4,5,"1,925",Multi-family home for sale,V6R 3G1
740000,1bd1ba453sqft- Condo for sale,1,1,453,Condo for sale,V6G 0C7
2599888,"7bds7ba3,057sqft- House for sale",7,7,"3,057",House for sale,V5R 3Y5
1659000,"3bds3ba1,718sqft- Townhouse for sale",3,3,"1,718",Townhouse for sale,V6Z 1X3
799000,2bds1ba773sqft- Townhouse for sale,2,1,773,Townhouse for sale,V5Y 1Z3
9980000,"8bds9ba8,655sqft- House for sale",8,9,"8,655",House for sale,V6P 5S7
728800,1bd1ba661sqft- Condo for sale,1,1,661,Condo for sale,V6J 0B5
4098000,"5bds5ba2,814sqft- House for sale",5,5,"2,814",House for sale,V6S 1K4
1099000,"2bds2ba1,274sqft- Townhouse for sale",2,2,"1,274",Townhouse for sale,V6P 4J8
4288000,"6bds5ba3,277sqft- House for sale",6,5,"3,277",House for sale,V6S 1A9
1599000,"3bds2ba1,976sqft- House for sale",3,2,"1,976",House for sale,V5Z 1R9
1249888,"2bds2ba1,037sqft- Condo for sale",2,2,"1,037",Condo for sale,V6B 0H2
9580000,"5bds5ba5,910sqft- House for sale",5,5,"5,910",House for sale,V6H 1V8
668000,1bd1ba557sqft- Condo for sale,1,1,557,Condo for sale,V6G 3J6
715000,1bd1ba753sqft- Condo for sale,1,1,753,Condo for sale,V6B 0B7
2578000,"3bds4ba1,515sqft- Multi-family home for sale",3,4,"1,515",Multi-family home for sale,V6S 1K9
499900,1bd1ba644sqft- Condo for sale,1,1,644,Condo for sale,V5R 4P7
7800000,"2bds2ba2,486sqft- House for sale",2,2,"2,486",House for sale,V6R 4C1
649000,1bd1ba690sqft- Condo for sale,1,1,690,Condo for sale,V6A 0G8
2099000,"2bds3ba1,987sqft- Townhouse for sale",2,3,"1,987",Townhouse for sale,V6M 4H2
1249000,"2bds2ba1,079sqft- Condo for sale",2,2,"1,079",Condo for sale,V6H 3Z8
768000,2bds1ba737sqft- Townhouse for sale,2,1,737,Townhouse for sale,V6K 1P6
6388000,"5bds6ba4,586sqft- House for sale",5,6,"4,586",House for sale,V6N 2S5
1298000,"2bds2ba1,437sqft- Condo for sale",2,2,"1,437",Condo for sale,V6J 4X8
1250000,"2bds3ba1,638sqft- Townhouse for sale",2,3,"1,638",Townhouse for sale,V5X 4S9
4988000,"5bds6ba3,739sqft- House for sale",5,6,"3,739",House for sale,V6L 1R2
1700000,"2bds2ba1,432sqft- Townhouse for sale",2,2,"1,432",Townhouse for sale,V6J 2L4
889000,1bd1ba928sqft- Condo for sale,1,1,928,Condo for sale,V5T 1J8
9988000,"3bds4ba3,322sqft- Condo for sale",3,4,"3,322",Condo for sale,V6C 0C1
2689000,"5bds3ba2,592sqft- House for sale",5,3,"2,592",House for sale,V5V 2K4
973800,1bd1ba782sqft- Condo for sale,1,1,782,Condo for sale,V6Z 2Y4
2798000,"2bds2ba2,039sqft- Condo for sale",2,2,"2,039",Condo for sale,V5T 0G3
998000,1bd1ba724sqft- Condo for sale,1,1,724,Condo for sale,V6G 1A5
4680000,"5bds3ba2,493sqft- House for sale",5,3,"2,493",House for sale,V6M 1X4
1599900,"2bds3ba1,469sqft- House for sale",2,3,"1,469",House for sale,V6A 3G6
1324900,"2bds2ba1,067sqft- Condo for sale",2,2,"1,067",Condo for sale,V6Z 2W5
975000,"2bds2ba1,225sqft- Condo for sale",2,2,"1,225",Condo for sale,V5Z 4K4
7880000,"4bds5ba3,152sqft- House for sale",4,5,"3,152",House for sale,V6L 1W3
1680000,"5bds4ba1,699sqft- Multi-family home for sale",5,4,"1,699",Multi-family home for sale,V5M 2R9
1688000,"2bds2ba1,365sqft- Condo for sale",2,2,"1,365",Condo for sale,V6G 3L1
12880000,"6bds9ba8,672sqft- House for sale",6,9,"8,672",House for sale,V6P 1N4
949000,2bds1ba928sqft- Townhouse for sale,2,1,928,Townhouse for sale,V5T 3L1
1699900,"3bds3ba1,118sqft- Townhouse for sale",3,3,"1,118",Townhouse for sale,V5Z 2K3
11888000,"6bds7ba6,399sqft- House for sale",6,7,"6,399",House for sale,V6M 3H4
1150000,"3bds3ba1,929sqft- Townhouse for sale",3,3,"1,929",Townhouse for sale,V5S 4B8
2088000,"3bds3ba1,519sqft- Condo for sale",3,3,"1,519",Condo for sale,V5Z 0H3
1999900,"4bds1ba2,461sqft- House for sale",4,1,"2,461",House for sale,V5L 2Y4
1190000,"2bds3ba1,014sqft- Multi-family home for sale",2,3,"1,014",Multi-family home for sale,V5N 3K9
1150000,2bds2ba973sqft- Townhouse for sale,2,2,973,Townhouse for sale,V6K 1R2
1099000,2bds2ba898sqft- Condo for sale,2,2,898,Condo for sale,V6K 4V5
849999,2bds2ba872sqft- Condo for sale,2,2,872,Condo for sale,V6Z 1B1
5588000,"3bds3ba2,550sqft- Condo for sale",3,3,"2,550",Condo for sale,V6C 3R1
1625000,"4bds3ba1,689sqft- Multi-family home for sale",4,3,"1,689",Multi-family home for sale,V5R 4W8
2598000,"3bds4ba2,220sqft- Townhouse for sale",3,4,"2,220",Townhouse for sale,V6N 1P4
599999,1bd1ba461sqft- Condo for sale,1,1,461,Condo for sale,V5Y 0N3
698000,1bd1ba700sqft- Condo for sale,1,1,700,Condo for sale,V6B 5T5
849000,1bd1ba660sqft- Condo for sale,1,1,660,Condo for sale,V6B 0H1
