Price,Property Details,Bedrooms,Bathrooms,Size,Property Type,Postal Code
5488000,"7bds6ba4,122sqft- House for sale",7,6,"4,122",House for sale,V5Y 2W3
1198000,"2bds3ba1,412sqft- Townhouse for sale",2,3,"1,412",Townhouse for sale,V5Z 4A4
9480000,"6bds7ba5,388sqft- House for sale",6,7,"5,388",House for sale,V6M 3J3
2998000,"4bds3ba2,542sqft- House for sale",4,3,"2,542",House for sale,V6G 1J8
1250000,"3bds3ba1,050sqft- Multi-family home for sale",3,3,"1,050",Multi-family home for sale,V5W 1V6
598000,Studio1ba457sqft- Condo for sale,0,1,457,Condo for sale,V6B 5T1
1489900,"3bds3ba1,155sqft- Townhouse for sale",3,3,"1,155",Townhouse for sale,V5Y 1Y2
739900,2bds1ba708sqft- Townhouse for sale,2,1,708,Townhouse for sale,V5R 0E5
1960000,"4bds4ba2,532sqft- House for sale",4,4,"2,532",House for sale,V5K 2C9
2598000,"5bds3ba1,890sqft- House for sale",5,3,"1,890",House for sale,V6R 1S2
379900,1bd1ba448sqft- Condo for sale,1,1,448,Condo for sale,V6A 0E6
2098000,"5bds3ba2,119sqft- House for sale",5,3,"2,119",House for sale,V5K 2S7
3880000,"5bds5ba3,315sqft- House for sale",5,5,"3,315",House for sale,V6N 3V3
7999800,"5bds3ba5,467sqft- House for sale",5,3,"5,467",House for sale,V6M 1X9
1499000,"6bds6ba2,764sqft- House for sale",6,6,"2,764",House for sale,V5K 2L9
1049000,"3bds2ba1,072sqft- Condo for sale",3,2,"1,072",Condo for sale,V5N 3A1
999000,3bds2ba916sqft- Condo for sale,3,2,916,Condo for sale,V6Z 0E3
3388000,"4bds3ba3,623sqft- House for sale",4,3,"3,623",House for sale,V6R 1R3
1469000,"2bds2ba1,157sqft- Condo for sale",2,2,"1,157",Condo for sale,V6B 6A8
2588800,"4bds4ba2,000sqft- Townhouse for sale",4,4,"2,000",Townhouse for sale,V6N 2T2
718800,1bd2ba956sqft- Condo for sale,1,2,956,Condo for sale,V6H 3S8
